epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1679.47,1.0746,0.65916,1.0666,0.82129,0.77173,0.79655,0.48996,1.35461,0.82002,1.32586,0.0005941,0.0005941,0.0005941
43,1718.21,1.09514,0.65374,1.05192,0.88185,0.80658,0.83728,0.50904,1.36611,0.75857,1.35081,0.0005842,0.0005842,0.0005842
44,1757.86,1.10717,0.6407,1.05709,0.84829,0.78911,0.82511,0.48391,1.37698,0.82593,1.3265,0.0005743,0.0005743,0.0005743
45,1796.49,1.09627,0.62654,1.04878,0.82815,0.79062,0.80852,0.50305,1.37147,0.81242,1.34782,0.0005644,0.0005644,0.0005644
46,1835.21,1.0676,0.61971,1.03289,0.82573,0.7933,0.82864,0.50036,1.38163,0.79887,1.34507,0.0005545,0.0005545,0.0005545
47,1873.91,1.05255,0.61354,1.03882,0.87136,0.77513,0.83305,0.51689,1.35368,0.82288,1.31407,0.0005446,0.0005446,0.0005446
48,1913.42,1.04724,0.60089,1.03727,0.88239,0.77172,0.81965,0.49065,1.36751,0.76717,1.33214,0.0005347,0.0005347,0.0005347
49,1951.8,1.04341,0.60286,1.02672,0.83442,0.7783,0.83486,0.51825,1.32083,0.75777,1.28014,0.0005248,0.0005248,0.0005248
50,1991.63,1.03082,0.59453,1.02135,0.86986,0.7739,0.84226,0.51789,1.37174,0.72285,1.29649,0.0005149,0.0005149,0.0005149
51,2030.28,1.03871,0.60036,1.02326,0.83517,0.77936,0.81817,0.50876,1.33539,0.75357,1.29398,0.000505,0.000505,0.000505
52,2068.68,1.00579,0.59197,1.02647,0.90552,0.75282,0.83309,0.50069,1.33057,0.74707,1.30204,0.0004951,0.0004951,0.0004951
53,2107.27,1.02721,0.5845,1.02561,0.80458,0.83231,0.82538,0.49275,1.31865,0.77064,1.28259,0.0004852,0.0004852,0.0004852
54,2146.05,0.99724,0.56851,1.00659,0.87839,0.80773,0.83428,0.51695,1.3777,0.74756,1.31565,0.0004753,0.0004753,0.0004753
55,2184.86,0.99025,0.56157,1.00665,0.8565,0.80966,0.82542,0.51792,1.36731,0.76632,1.31846,0.0004654,0.0004654,0.0004654
